Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Protein processing in endoplasmic reticulum,9/171,5.4725267601857896e-11,5.800878365796937e-09,0,0,34.369791666666664,812.1133445288276,DNAJB1;HSP90AA1;HSP90AB1;HSPA5;SEC61G;CRYAB;HSPA1B;HSPA1A;HSP90B1
KEGG_2021_Human,Lipid and atherosclerosis,8/215,1.1026548963190665e-08,5.844070950491051e-07,0,0,23.132191480017568,423.8502175803985,HSP90AA1;HSP90AB1;HSPA5;CCL2;SOD2;HSPA1B;HSPA1A;HSP90B1
KEGG_2021_Human,Glycolysis / Gluconeogenesis,5/67,2.4737424894186705e-07,8.74055679594597e-06,0,0,44.57213261648746,678.0474819567171,LDHA;TPI1;PGAM1;PGK1;ENO1
KEGG_2021_Human,Antigen processing and presentation,5/78,5.318947762064452e-07,1.4095211569470796e-05,0,0,37.83485540334856,546.5933516500226,HSP90AA1;HSP90AB1;HSPA5;HSPA1B;HSPA1A
KEGG_2021_Human,Estrogen signaling pathway,5/137,8.614478805121845e-06,0.0001826269506685831,0,0,20.861742424242426,243.29102095581163,HSP90AA1;HSP90AB1;HSPA1B;HSPA1A;HSP90B1
KEGG_2021_Human,IL-17 signaling pathway,4/94,4.05565378938928e-05,0.0007164988361254395,0,0,23.866666666666667,241.35915029795444,HSP90AA1;HSP90AB1;CCL2;HSP90B1
KEGG_2021_Human,Longevity regulating pathway,4/102,5.585246506259105e-05,0.0008457658995192358,0,0,21.90954219525648,214.55569680738765,SOD2;CRYAB;HSPA1B;HSPA1A
KEGG_2021_Human,HIF-1 signaling pathway,4/109,7.236570911193698e-05,0.0009588456457331648,0,0,20.44169884169884,194.8866187368548,LDHA;SLC2A1;PGK1;ENO1
KEGG_2021_Human,Fluid shear stress and atherosclerosis,4/139,0.00018531024552596832,0.0021825428917502,0,0,15.875075075075076,136.42212641853328,HSP90AA1;HSP90AB1;CCL2;HSP90B1
KEGG_2021_Human,Legionellosis,3/57,0.00021664292641719905,0.0022964150200223,0,0,29.100877192982452,245.53166885504453,BNIP3;HSPA1B;HSPA1A
KEGG_2021_Human,Central carbon metabolism in cancer,3/70,0.0003978799529751688,0.0038341159104879,0,0,23.439120188531028,183.51331528655905,LDHA;PGAM1;SLC2A1
KEGG_2021_Human,PPAR signaling pathway,3/74,0.00046850649699688233,0.0041248597213574,0,0,22.114158636026687,169.52626855661205,UBC;PLIN2;ANGPTL4
KEGG_2021_Human,NOD-like receptor signaling pathway,4/181,0.000505879022430626,0.0041248597213574,0,0,12.082455336692624,91.69632715383992,HSP90AA1;HSP90AB1;NAMPT;CCL2
KEGG_2021_Human,Protein export,2/23,0.0010094057125574,0.0072884037471943,0,0,48.688644688644686,335.8734312472782,HSPA5;SEC61G
KEGG_2021_Human,Prostate cancer,3/97,0.0010313778887539,0.0072884037471943,0,0,16.683930571108622,114.73304835836942,HSP90AA1;HSP90AB1;HSP90B1
KEGG_2021_Human,Glucagon signaling pathway,3/107,0.0013689007716852,0.0090689676124147,0,0,15.072115384615383,99.38171888120304,LDHA;PGAM1;SLC2A1
KEGG_2021_Human,Salmonella infection,4/249,0.0016541512887559,0.0103141198004782,0,0,8.698952013237728,55.71215300104194,HSP90AA1;HSP90AB1;HSP90B1;S100A10
KEGG_2021_Human,Prion disease,4/273,0.0023121289413645,0.0136158704324801,0,0,7.913192002411333,48.02980381852701,EGR1;HSPA5;HSPA1B;HSPA1A
KEGG_2021_Human,Necroptosis,3/159,0.0042119524976847,0.0234982613028725,0,0,10.021761133603238,54.81731930510896,HSP90AA1;HSP90AB1;GLUL
KEGG_2021_Human,Mitophagy,2/68,0.0085746690191542,0.0454457458015176,0,0,15.456876456876456,73.55839223915375,BNIP3;UBC
KEGG_2021_Human,Thyroid hormone synthesis,2/75,0.0103515830050206,0.0522508475491517,0,0,13.969792764313311,63.8505558612769,HSPA5;HSP90B1
KEGG_2021_Human,Chemical carcinogenesis,3/239,0.0128612187008852,0.0619676901042652,0,0,6.597792149866191,28.723744104760257,HSP90AA1;HSP90AB1;HSP90B1
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0178804597481127,0.0789720305541646,0,0,10.392987964416536,41.82186992516352,EGR1;CCL2
KEGG_2021_Human,Progesterone-mediated oocyte maturation,2/100,0.0178804597481127,0.0789720305541646,0,0,10.392987964416536,41.82186992516352,HSP90AA1;HSP90AB1
KEGG_2021_Human,Th17 cell differentiation,2/107,0.0203015739218808,0.0842214631650254,0,0,9.696703296703296,37.78860412936362,HSP90AA1;HSP90AB1
KEGG_2021_Human,Insulin resistance,2/108,0.0206580947385911,0.0842214631650254,0,0,9.604741170778906,37.26301525176931,PPP1CB;SLC2A1
KEGG_2021_Human,Toxoplasmosis,2/112,0.0221103257698347,0.0867606878394125,0,0,9.253613053613051,35.272094503664505,HSPA1B;HSPA1A
KEGG_2021_Human,Pathways in cancer,4/531,0.0229179175424863,0.0867606878394125,0,0,3.986255705420791,15.051448789996254,HSP90AA1;HSP90AB1;SLC2A1;HSP90B1
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0295596535904276,0.1073949553681499,0,0,7.883124627310674,27.75920071689616,BNIP3;SOD2
KEGG_2021_Human,Vascular smooth muscle contraction,2/133,0.030394798689099,0.1073949553681499,0,0,7.761988647484831,27.116381447998105,PPP1CB;ADM
KEGG_2021_Human,Measles,2/139,0.0329561462791382,0.1101679641576384,0,0,7.419801609582631,25.32064804156649,HSPA1B;HSPA1A
KEGG_2021_Human,Nitrogen metabolism,1/17,0.0342975737471893,0.1101679641576384,0,0,31.1609375,105.09589136420657,GLUL
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.0342975737471893,0.1101679641576384,0,0,31.1609375,105.09589136420657,MIF
KEGG_2021_Human,PI3K-Akt signaling pathway,3/354,0.0357229596789045,0.1113715801754083,0,0,4.410256410256411,14.69480530791112,HSP90AA1;HSP90AB1;HSP90B1
KEGG_2021_Human,Spliceosome,2/150,0.0378634362846677,0.1146721213192793,0,0,6.864518364518364,22.472849991670653,HSPA1B;HSPA1A
KEGG_2021_Human,Arginine biosynthesis,1/22,0.0441648309205672,0.1300408910438925,0,0,23.735714285714284,74.05131012000572,GLUL
KEGG_2021_Human,Influenza A,2/172,0.0484501056194612,0.1388030052881862,0,0,5.969532428355958,18.07109249866865,DNAJB1;CCL2
KEGG_2021_Human,Glyoxylate and dicarboxylate metabolism,1/30,0.0597482042475946,0.1666660434275009,0,0,17.18103448275862,48.4095601130177,GLUL
KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.0649425225820099,0.1736487612692879,0,0,5.040949100650593,13.783228528972014,PPP1CB;SLC2A1
KEGG_2021_Human,Fructose and mannose metabolism,1/33,0.0655278344412407,0.1736487612692879,0,0,15.56796875,42.42707812982904,TPI1
KEGG_2021_Human,Propanoate metabolism,1/34,0.0674466644929666,0.1743743033232797,0,0,15.095454545454546,40.703657605291774,LDHA
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,1/35,0.069361650424016,0.1745361020734455,0,0,14.650735294117649,39.09433194754818,NAMPT
KEGG_2021_Human,Tyrosine metabolism,1/36,0.071272799727047,0.1745361020734455,0,0,14.231428571428571,37.58862572708161,MIF
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",1/37,0.073180119912113,0.1745361020734455,0,0,13.835416666666667,36.17728305000016,GLUL
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0740955150311797,0.1745361020734455,0,0,4.665485052581827,12.14145958108011,EGR1;SLC2A1
KEGG_2021_Human,"Glycine, serine and threonine metabolism",1/40,0.0788791803782376,0.1817650678281129,0,0,12.76923076923077,32.43177702110549,PGAM1
KEGG_2021_Human,Ferroptosis,1/41,0.0807712586763987,0.1821649663765588,0,0,12.449375,31.324296789202013,SAT1
KEGG_2021_Human,Shigellosis,2/246,0.0904075254566052,0.1848000492247397,0,0,4.14354770912148,9.958717625646564,BNIP3;UBC
KEGG_2021_Human,Pyruvate metabolism,1/47,0.0920443577411465,0.1848000492247397,0,0,10.822282608695652,25.81638924413387,LDHA
KEGG_2021_Human,Parkinson disease,2/249,0.0922815548795222,0.1848000492247397,0,0,4.092598359804837,9.752297634754337,HSPA5;UBC
KEGG_2021_Human,Endocytosis,2/252,0.0941671319942093,0.1848000492247397,0,0,4.042871794871795,9.552028809211736,HSPA1B;HSPA1A
KEGG_2021_Human,Arginine and proline metabolism,1/50,0.0976302146847681,0.1848000492247397,0,0,10.158163265306122,23.633660200289185,SAT1
KEGG_2021_Human,Vibrio cholerae infection,1/50,0.0976302146847681,0.1848000492247397,0,0,10.158163265306122,23.633660200289185,SEC61G
KEGG_2021_Human,Cholesterol metabolism,1/50,0.0976302146847681,0.1848000492247397,0,0,10.158163265306122,23.633660200289185,ANGPTL4
KEGG_2021_Human,Cysteine and methionine metabolism,1/50,0.0976302146847681,0.1848000492247397,0,0,10.158163265306122,23.633660200289185,LDHA
KEGG_2021_Human,Malaria,1/50,0.0976302146847681,0.1848000492247397,0,0,10.158163265306122,23.633660200289185,CCL2
KEGG_2021_Human,MAPK signaling pathway,2/294,0.1216671109020669,0.2235953471647286,0,0,3.453986652616789,7.275707392179581,HSPA1B;HSPA1A
KEGG_2021_Human,Cytokine-cytokine receptor interaction,2/295,0.1223446239203232,0.2235953471647286,0,0,3.4420232782007525,7.231392932328855,TNFRSF12A;CCL2
KEGG_2021_Human,Long-term potentiation,1/67,0.1286557674245928,0.2260820738579749,0,0,7.535227272727273,15.45184940254064,PPP1CB
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.1322366847093815,0.2260820738579749,0,0,7.312867647058823,14.795115174308478,SLC2A1
KEGG_2021_Human,Amphetamine addiction,1/69,0.1322366847093815,0.2260820738579749,0,0,7.312867647058823,14.795115174308478,PPP1CB
KEGG_2021_Human,Renal cell carcinoma,1/69,0.1322366847093815,0.2260820738579749,0,0,7.312867647058823,14.795115174308478,SLC2A1
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.1393554990817365,0.2344711571851439,0,0,6.905208333333333,13.60828094132521,TPI1
KEGG_2021_Human,RNA degradation,1/79,0.149927009133644,0.2483166088775979,0,0,6.372115384615385,12.091768904958322,ENO1
KEGG_2021_Human,Peroxisome,1/82,0.1551651500076359,0.2530385523201447,0,0,6.135185185185185,11.431477329450804,SOD2
KEGG_2021_Human,Insulin secretion,1/86,0.1621003778502616,0.2603430310928444,0,0,5.845294117647059,10.635743648833245,SLC2A1
KEGG_2021_Human,GABAergic synapse,1/89,0.1672653178971274,0.2634100812271669,0,0,5.645170454545455,10.094547017363173,GLUL
KEGG_2021_Human,Bile secretion,1/90,0.1689800521079939,0.2634100812271669,0,0,5.581460674157303,9.92369534242351,SLC2A1
KEGG_2021_Human,GnRH signaling pathway,1/93,0.1741036118958874,0.2636426122994867,0,0,5.3986413043478265,9.43739016391218,EGR1
KEGG_2021_Human,Rheumatoid arthritis,1/93,0.1741036118958874,0.2636426122994867,0,0,5.3986413043478265,9.43739016391218,CCL2
KEGG_2021_Human,mRNA surveillance pathway,1/98,0.182574472256494,0.2687901952665051,0,0,5.119072164948453,8.705479391213508,PPP1CB
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,1/98,0.182574472256494,0.2687901952665051,0,0,5.119072164948453,8.705479391213508,PPP1CB
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,1/100,0.1859390303366049,0.2699936604887687,0,0,5.015151515151516,8.43717221072756,CCL2
KEGG_2021_Human,Chagas disease,1/102,0.1892900762066492,0.2711452442960111,0,0,4.915346534653465,8.181469682114148,CCL2
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.1959518426091527,0.2769452708876025,0,0,4.727142857142857,7.7047056216813425,EGR1
KEGG_2021_Human,TNF signaling pathway,1/112,0.205844466704373,0.2870988614560992,0,0,4.47027027027027,7.065863017263707,CCL2
KEGG_2021_Human,Glutamatergic synapse,1/114,0.209115543229536,0.2878733452250755,0,0,4.39070796460177,6.870879889950896,GLUL
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.2204611234234886,0.2996010138832025,0,0,4.133125,6.249425156932282,SLC2A1
KEGG_2021_Human,Platelet activation,1/124,0.2252747622995925,0.3022674025792001,0,0,4.03170731707317,6.008995501946597,PPP1CB
KEGG_2021_Human,Oocyte meiosis,1/129,0.2332331256292557,0.3065281721104406,0,0,3.8732421875,5.638343670294379,PPP1CB
KEGG_2021_Human,Dopaminergic synapse,1/132,0.2379697999147863,0.3065281721104406,0,0,3.783969465648855,5.432310097472777,PPP1CB
KEGG_2021_Human,Apelin signaling pathway,1/137,0.2458008927300703,0.3065281721104406,0,0,3.643933823529412,5.113289830471274,EGR1
